,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
37,0.008556461334228516,0.0002673149108886719,0.42330097087378643,0.42452144866206687,0.1,"(6, 6)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (6, 6)}",25,0.4251207729468599,0.4240583232077764,0.42028985507246375,0.4264884568651276,0.3961352657004831,0.43377885783718106,0.43414634146341463,0.4206060606060606,0.4411764705882353,0.41767554479418884,0.0009260953557380526,8.741089743043695e-06,0.015410897678718151,0.005513254837029618
38,0.010257244110107422,0.0003376007080078125,0.4155339805825243,0.41504805126157357,0.1,"(6, 6, 6)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (6, 6, 6)}",34,0.42028985507246375,0.41433778857837184,0.4251207729468599,0.4131227217496962,0.4057971014492754,0.41798298906439857,0.424390243902439,0.4121212121212121,0.4019607843137255,0.41767554479418884,0.001579595582126084,7.78409459396792e-05,0.009704056617686668,0.0023788794140263978
39,0.01619877815246582,0.0003238201141357422,0.39611650485436894,0.3961324479009674,0.1,"(12,)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (12,)}",66,0.4057971014492754,0.40704738760631837,0.3864734299516908,0.41676792223572295,0.36231884057971014,0.39003645200486026,0.40487804878048783,0.38545454545454544,0.4215686274509804,0.3813559322033898,0.0069209774457317024,8.275046936018237e-05,0.02026499182158884,0.01352392615014751
40,0.019698619842529297,0.00029201507568359374,0.38737864077669903,0.3936734664584408,0.1,"(12, 12)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (12, 12)}",91,0.34299516908212563,0.37667071688942894,0.391304347826087,0.3645200486026732,0.40096618357487923,0.41190765492102066,0.4146341463414634,0.4121212121212121,0.3872549019607843,0.40314769975786924,0.0030295017512767352,6.710371277714645e-06,0.024164975848319788,0.019501698957366257
41,0.011634445190429688,0.0003645896911621094,0.4155339805825243,0.4174873045620414,0.1,"(12, 12, 12)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (12, 12, 12)}",34,0.38164251207729466,0.425273390036452,0.40096618357487923,0.42284325637910086,0.40096618357487923,0.42162818955042525,0.43414634146341463,0.41333333333333333,0.46078431372549017,0.4043583535108959,0.0011069561738336004,6.231486338668827e-05,0.028118181911972556,0.007695207704030114
42,0.014297962188720703,0.00029811859130859377,0.36601941747572814,0.3657725554302361,0.1,"(18,)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (18,)}",105,0.36231884057971014,0.35479951397326853,0.3864734299516908,0.3645200486026732,0.3719806763285024,0.370595382746051,0.3804878048780488,0.3709090909090909,0.3284313725490196,0.36803874092009686,0.0035067198613198377,4.634224295086441e-05,0.020382980474887076,0.00594568194385776
43,0.031430816650390624,0.00030641555786132814,0.4300970873786408,0.43662559974366716,0.1,"(18, 18)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (18, 18)}",15,0.4444444444444444,0.4313487241798299,0.5120772946859904,0.5358444714459295,0.30917874396135264,0.29526123936816523,0.44878048780487806,0.4763636363636364,0.4362745098039216,0.4443099273607748,0.012818798172240131,4.599439831461904e-06,0.06638917534435321,0.07936532334376023
44,0.030715274810791015,0.00039882659912109374,0.3951456310679612,0.42333818379381327,0.1,"(18, 18, 18)","{'NN__alpha': 0.10000000000000001, 'NN__hidden_layer_sizes': (18, 18, 18)}",74,0.34299516908212563,0.3985419198055893,0.4057971014492754,0.4738760631834751,0.463768115942029,0.46537059538274606,0.34146341463414637,0.37333333333333335,0.4215686274509804,0.40556900726392253,0.010023549814618617,7.197136241118352e-05,0.047197393764634665,0.03937482517823927
45,0.01180577278137207,0.00029053688049316404,0.4368932038834951,0.44296633179892025,0.0316227766017,"(6,)","{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6,)}",2,0.4396135265700483,0.4520048602673147,0.45893719806763283,0.44957472660996356,0.41545893719806765,0.4374240583232078,0.43902439024390244,0.43393939393939396,0.43137254901960786,0.44188861985472155,0.003454625186438194,4.656885530118799e-05,0.014086109023246403,0.00690984434392851
46,0.009499788284301758,0.00037140846252441405,0.42330097087378643,0.42452144866206687,0.0316227766017,"(6, 6)","{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6)}",25,0.4251207729468599,0.4240583232077764,0.42028985507246375,0.4264884568651276,0.3961352657004831,0.43377885783718106,0.43414634146341463,0.4206060606060606,0.4411764705882353,0.41767554479418884,0.0014517630037694039,5.5473891430999806e-05,0.015410897678718151,0.005513254837029618
