,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
520,0.39751181602478025,0.10860495567321778,0.4262135922330097,0.4262140074230608,0.0316227766017,"(6, 6, 6)",4,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 4}",263,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.004579155438042414,0.0019528721842737504,0.0016094382569135867,0.0004017042287733152
521,0.4141037940979004,0.10959811210632324,0.4970873786407767,0.5048940948322705,0.0316227766017,"(6, 6, 6)",5,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 5}",12,0.5120772946859904,0.5321992709599028,0.4492753623188406,0.5261239368165249,0.5603864734299517,0.5091130012150669,0.5024390243902439,0.5103030303030303,0.46078431372549017,0.4467312348668281,0.00480027124970291,0.001885967370039443,0.03970571342022221,0.03041793177515769
522,0.39977121353149414,0.11008157730102539,0.34757281553398056,0.34757275080021544,0.0316227766017,"(6, 6, 6)",6,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 6}",995,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.34782608695652173,0.34750911300121506,0.3463414634146341,0.3478787878787879,0.3480392156862745,0.3474576271186441,0.005969643001275275,0.000537067548521248,0.0006192993286040435,0.00015431232219401302
523,0.4056652545928955,0.10852546691894531,0.40194174757281553,0.40776941777802617,0.0316227766017,"(6, 6, 6)",7,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 7}",664,0.3961352657004831,0.41190765492102066,0.41545893719806765,0.40583232077764275,0.4106280193236715,0.40704738760631837,0.3951219512195122,0.41333333333333333,0.39215686274509803,0.400726392251816,0.005363691659281595,0.002624446388473905,0.00932090260995569,0.004515751186211372
524,0.40543355941772463,0.10732593536376953,0.27864077669902915,0.27931159514675796,0.0316227766017,"(6, 6, 6)",8,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 8}",1236,0.24154589371980675,0.24179829890643986,0.23671497584541062,0.2503037667071689,0.2560386473429952,0.24665856622114216,0.36097560975609755,0.3406060606060606,0.29901960784313725,0.3171912832929782,0.010986321064123892,0.002702159506068751,0.046518240491266814,0.041247555257513474
525,0.3992650032043457,0.11042561531066894,0.4262135922330097,0.4262140074230608,0.0316227766017,"(6, 6, 6)",9,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 9}",263,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4251207729468599,0.4264884568651276,0.4292682926829268,0.4254545454545455,0.4264705882352941,0.4261501210653753,0.004656430415874298,0.0002336307731642448,0.0016094382569135867,0.0004017042287733152
526,0.4159432888031006,0.10841536521911621,0.4116504854368932,0.41142286813007817,0.0316227766017,"(6, 6, 6)",10,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 10}",557,0.391304347826087,0.41433778857837184,0.4492753623188406,0.43013365735115433,0.4057971014492754,0.41676792223572295,0.4,0.3927272727272727,0.4117647058823529,0.40314769975786924,0.008654710566053998,0.003065553685164029,0.020039932469395647,0.012689867587500655
527,0.41202330589294434,0.10864582061767578,0.39223300970873787,0.40143637642091007,0.0316227766017,"(6, 6, 6)",11,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (6, 6, 6), 'filter__n': 11}",723,0.42995169082125606,0.44106925880923453,0.3671497584541063,0.32806804374240583,0.3671497584541063,0.4131227217496962,0.36585365853658536,0.38545454545454544,0.43137254901960786,0.43946731234866826,0.010438375485660654,0.0024803443325235926,0.03131637106769789,0.041933326322038354
528,0.3997493743896484,0.10770363807678222,0.42718446601941745,0.428873613168689,0.0316227766017,"(12,)",1,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (12,), 'filter__n': 1}",240,0.463768115942029,0.41919805589307413,0.45410628019323673,0.42162818955042525,0.4251207729468599,0.4289185905224787,0.3853658536585366,0.4387878787878788,0.4068627450980392,0.4358353510895884,0.004850000436054781,0.0024209467205872203,0.02907477339718625,0.007653405158637413
529,0.4042527675628662,0.10961356163024902,0.4330097087378641,0.44393425925901153,0.0316227766017,"(12,)",2,"{'NN__alpha': 0.031622776601683791, 'NN__hidden_layer_sizes': (12,), 'filter__n': 2}",187,0.42028985507246375,0.44835965978128794,0.391304347826087,0.456865127582017,0.463768115942029,0.4289185905224787,0.4682926829268293,0.44606060606060605,0.4215686274509804,0.43946731234866826,0.007405647926123095,0.0027745296835989613,0.029084378757228115,0.009345980937228974
